gpu,arch,vram_gb,model,params_b,precision,energy_fp16_j1k,energy_quant_j1k,n_runs,n_trials,energy_quant_std_j1k,note
RTX 4090D,ada,24,Qwen2-0.5B,0.5,NF4,1474.16,2301.07,1,1,,n=1 single trial
RTX 4090D,ada,24,TinyLlama-1.1B,1.1,NF4,1600.58,2134.35,2,2,20.06,
RTX 4090D,ada,24,Qwen2-1.5B,1.5,NF4,2238.87,3103.12,2,2,95.03,higher variance (CV 13.4%)
RTX 4090D,ada,24,Qwen2.5-3B,3.0,NF4,2989.22,3743.12,2,2,107.97,
RTX 4090,ada,24,Qwen2-0.5B,0.5,NF4,1550.92,2103.59,10,1,,1 trial x 10 iterations; ecocompute-mlcube July 2026; direct NVML; zenodo.22037483
RTX 4090,ada,24,TinyLlama-1.1B,1.1,NF4,1619.68,1883.91,10,1,,1 trial x 10 iterations; ecocompute-mlcube July 2026; direct NVML; zenodo.22037483
RTX 4090,ada,24,Qwen2-1.5B,1.5,NF4,2200.67,2533.25,10,1,,1 trial x 10 iterations; ecocompute-mlcube July 2026; direct NVML; zenodo.22037483
RTX 4090,ada,24,Qwen2.5-3B,3.0,NF4,3557.99,3584.88,10,1,,1 trial x 10 iterations; ecocompute-mlcube July 2026; direct NVML; zenodo.22037483
RTX 4090,ada,24,Qwen2-7B,7.0,NF4,5467.88,3911.75,10,1,,1 trial x 10 iterations; ecocompute-mlcube July 2026; direct NVML; zenodo.22037483
RTX 4090,ada,24,Qwen2-0.5B,0.5,INT8,1550.92,5302.51,10,1,,bitsandbytes LLM.int8(); 1 trial x 10 iterations; ecocompute-mlcube July 2026; zenodo.22037483
RTX 4090,ada,24,TinyLlama-1.1B,1.1,INT8,1619.68,3986.20,10,1,,bitsandbytes LLM.int8(); 1 trial x 10 iterations; ecocompute-mlcube July 2026; zenodo.22037483
RTX 4090,ada,24,TinyLlama-1.1B,1.1,INT8,1502.90,3575.44,10,1,,bitsandbytes LLM.int8(); 1 trial x 10 iterations; ecocompute-mlcube 2026-08-06; direct NVML; separate session on a different RTX 4090 instance; transformers 4.46.3 / bitsandbytes 0.45.5 (not the image pins) so not directly comparable with image runs; FP16 baseline back-derived as 3575.443/1.379 (the report itself was not kept - the instance was released) while dE%=137.9 is the reported value
RTX 4090,ada,24,Qwen2-1.5B,1.5,INT8,2200.67,6177.88,10,1,,bitsandbytes LLM.int8(); 1 trial x 10 iterations; ecocompute-mlcube July 2026; zenodo.22037483
RTX 4090,ada,24,Qwen2.5-3B,3.0,INT8,3557.99,8354.86,10,1,,bitsandbytes LLM.int8(); 1 trial x 10 iterations; ecocompute-mlcube July 2026; zenodo.22037483
RTX 4090,ada,24,Qwen2-7B,7.0,INT8,5467.88,8176.81,10,1,,bitsandbytes LLM.int8(); 1 trial x 10 iterations; ecocompute-mlcube July 2026; zenodo.22037483
RTX 5090,blackwell,32,TinyLlama-1.1B,1.1,NF4,1659.00,2098.44,10,2,31.5,
RTX 5090,blackwell,32,Qwen2-1.5B,1.5,NF4,2411.09,3120.49,10,2,42.1,
RTX 5090,blackwell,32,Qwen2.5-3B,3.0,NF4,3382.64,3779.60,10,2,48.7,
RTX 5090,blackwell,32,Qwen2-7B,7.0,NF4,5508.56,4877.88,10,2,55.8,
T4,turing,16,TinyLlama-1.1B,1.1,NF4,4251.21,4445.26,10,2,52.1,
T4,turing,16,Qwen2-1.5B,1.5,NF4,5731.80,5744.39,10,2,61.5,
T4,turing,16,Qwen2.5-3B,3.0,NF4,11267.69,11111.78,10,2,95.2,
T4,turing,16,Qwen2-7B,7.0,NF4,21722.65,18734.94,10,2,142.8,
A800,ampere,80,Mistral-7B,7.0,NF4,4402.43,4222.40,1,2,,CV 1.6%
A800,ampere,80,Yi-1.5-9B,9.0,NF4,5445.12,5363.07,1,2,,CV 0.91%
A800,ampere,80,Qwen2.5-14B,14.0,NF4,7359.98,7544.60,1,2,,CV 1.12% (rebound to penalty)
A800,ampere,80,Mistral-7B,7.0,INT8,4402.43,10161.92,1,2,,int8_default; CV 0.64%
A800,ampere,80,Yi-1.5-9B,9.0,INT8,5445.12,11825.92,1,2,,int8_default; CV 0.48%
A800,ampere,80,Qwen2.5-14B,14.0,INT8,7359.98,15265.58,1,2,,int8_default; CV 1.03%
