method,gpu_arch,params_b,vs_fp16_energy_pct_mean,vs_fp16_energy_pct_min,vs_fp16_energy_pct_max,n_measurements,gpus,delta_perplexity_pct_mean,denominator
bnb INT8,ada,0.5,472.6,241.9,594.6,5,RTX 4090,0.52,whole-process at fixed output length
bnb INT8,ada,1.1,223.2,137.9,307.1,6,RTX 4090,0.54,whole-process at fixed output length
bnb INT8,ada,1.5,297.7,180.7,365.1,5,RTX 4090,0.51,whole-process at fixed output length
bnb INT8,ada,3.0,226.4,134.8,273.2,5,RTX 4090,3.79,whole-process at fixed output length
bnb INT8,ada,7.0,87.1,49.5,105.9,5,RTX 4090,1.19,whole-process at fixed output length
bnb INT8,ampere,7.0,130.8,130.8,130.8,2,A800,,whole-process at fixed output length
bnb INT8,ampere,9.0,117.2,117.2,117.2,2,A800,,whole-process at fixed output length
bnb INT8,ampere,14.0,107.4,107.4,107.4,2,A800,,whole-process at fixed output length
bnb NF4,turing,1.1,4.6,4.6,4.6,2,T4,,whole-process at fixed output length
bnb NF4,turing,1.5,0.2,0.2,0.2,2,T4,,whole-process at fixed output length
bnb NF4,turing,3.0,-1.4,-1.4,-1.4,2,T4,,whole-process at fixed output length
bnb NF4,turing,7.0,-13.8,-13.8,-13.8,2,T4,,whole-process at fixed output length
bnb NF4,ampere,1.1,-16.2,-16.2,-16.2,1,NVIDIA GeForce RTX 3050 Ti Laptop GPU,,whole-process at fixed output length
bnb NF4,ampere,7.0,-4.1,-4.1,-4.1,2,A800,,whole-process at fixed output length
bnb NF4,ampere,9.0,-1.5,-1.5,-1.5,2,A800,,whole-process at fixed output length
bnb NF4,ampere,14.0,2.5,2.5,2.5,2,A800,,whole-process at fixed output length
bnb NF4,ada,0.5,40.9,31.1,56.1,3,RTX 4090; RTX 4090D,9.45,whole-process at fixed output length
bnb NF4,ada,1.1,18.4,5.5,33.3,4,RTX 4090; RTX 4090D,5.0,whole-process at fixed output length
bnb NF4,ada,1.5,17.2,-2.2,38.6,4,RTX 4090; RTX 4090D,6.93,whole-process at fixed output length
bnb NF4,ada,3.0,3.6,-15.1,25.2,4,RTX 4090; RTX 4090D,27.56,whole-process at fixed output length
bnb NF4,ada,7.0,-33.7,-39.0,-28.5,2,RTX 4090,12.06,whole-process at fixed output length
bnb NF4,blackwell,1.1,26.5,26.5,26.5,2,RTX 5090,,whole-process at fixed output length
bnb NF4,blackwell,1.5,29.4,29.4,29.4,2,RTX 5090,,whole-process at fixed output length
bnb NF4,blackwell,3.0,11.7,11.7,11.7,2,RTX 5090,,whole-process at fixed output length
bnb NF4,blackwell,7.0,-11.4,-11.4,-11.4,2,RTX 5090,,whole-process at fixed output length
llama.cpp Q4_0,ada,8.0,-62.5,-63.2,-61.9,10,RTX 4090,5.6,decode-only (differenced)
