run_id,timestamp_utc,replicate,gpu,gpu_arch,model,params_b,precision,quantization_backend,batch_size,context_length,generated_tokens_per_iter,decode_iterations,warmup,sampling_rate_hz,energy_j_per_1k_tok,fp16_energy_j_per_1k_tok,vs_fp16_energy_pct,throughput_tok_s,avg_power_w,total_energy_j,perplexity,fp16_perplexity,delta_perplexity_pct,quality_tokens_evaluated,quality_seq_len,quality_corpus_sha256,basis,measurement_source,n_trials,torch,torch_cuda,transformers,bitsandbytes,accelerate,nvidia_driver,python,matches_reference_pins,session
rtx4090-int8-cv-0.5b-rep1,2026-08-20T06:32:27.173297Z,1,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-0.5B,0.5,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,8219.999,1182.642,595.05,9.0,74.1,21043.196,17.8543,17.7621,0.519,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-0.5b-rep2,2026-08-20T06:39:25.190670Z,2,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-0.5B,0.5,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,8214.19,1211.064,578.26,8.9,73.2,21028.325,17.8543,17.7621,0.519,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-0.5b-rep3,2026-08-20T06:46:25.861028Z,3,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-0.5B,0.5,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,8328.45,1242.011,570.56,8.9,74.3,21320.832,17.8543,17.7621,0.519,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-1.1b-rep1,2026-08-20T09:23:00.294141Z,1,NVIDIA GeForce RTX 4090,ada,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,5584.766,1378.714,305.07,13.9,77.7,14297.002,9.6721,9.6199,0.543,15646,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-1.1b-rep2,2026-08-20T09:27:49.190998Z,2,NVIDIA GeForce RTX 4090,ada,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,5534.365,1355.475,308.3,14.1,78.1,14167.975,9.6721,9.6199,0.543,15646,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-1.1b-rep3,2026-08-20T09:32:50.518891Z,3,NVIDIA GeForce RTX 4090,ada,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,5750.636,1409.83,307.9,13.4,77.3,14721.627,9.6721,9.6199,0.543,15646,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-1.5b-rep1,2026-08-20T07:02:24.996966Z,1,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-1.5B,1.5,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,9749.632,2159.662,351.44,7.9,76.7,24959.058,11.1652,11.1081,0.514,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-1.5b-rep2,2026-08-20T07:10:24.696021Z,2,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-1.5B,1.5,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,9751.651,2156.553,352.19,7.9,77.1,24964.226,11.1652,11.1081,0.514,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-1.5b-rep3,2026-08-20T07:18:25.516276Z,3,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-1.5B,1.5,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,9699.346,2211.093,338.67,7.8,76.0,24830.326,11.1652,11.1081,0.514,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
rtx4090-int8-cv-3.0b-rep1,2026-08-20T07:42:21.847013Z,1,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2.5-3B,3.0,INT8,bitsandbytes LLM.int8(),1,2048,256,10,2,10,12706.9,3417.819,271.78,6.2,78.9,32529.663,4.7195,4.5472,3.789,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,2026-08-20 RTX 4090 INT8 repeatability (3 replicates per size)
