run_id,replicate,gpu,gpu_arch,gpu_power_limit_w,model,params_b,precision,quantization_backend,gguf_file,batch_size,context_length,requested_tokens,sampling_rate_hz,wall_s,process_energy_j,mean_power_w,start_power_w,max_power_w,n_power_samples,cold_start,returncode,llama_cpp_commit,flash_attn,temp,seed,basis,measurement_source,n_trials,session
rtx4090-llamacpp-f16-n64-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,64,10,6.553,550.892,84.07,21.97,273.19,66,yes,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-f16-n64-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,64,10,6.362,679.197,106.76,244.18,277.91,64,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-f16-n64-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,64,10,7.606,765.652,100.66,219.08,272.82,76,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-f16-n576-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,576,10,14.857,3132.517,210.85,145.56,289.83,149,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-f16-n576-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,576,10,15.173,3201.783,211.01,150.49,293.58,152,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-f16-n576-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,576,10,15.003,3229.269,215.25,157.99,296.24,150,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4mlperf-n64-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,64,10,3.574,325.318,91.02,223.45,223.45,36,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4mlperf-n64-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,64,10,3.147,313.681,99.67,239.04,239.04,32,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4mlperf-n64-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,64,10,3.182,311.401,97.86,241.41,241.41,32,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4mlperf-n576-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,576,10,6.445,1244.018,193.03,152.65,313.19,65,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4mlperf-n576-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,576,10,6.296,1238.614,196.74,152.68,316.23,63,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4mlperf-n576-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,Llama-3.1-8B-Instruct-Q4_0.gguf,1,2048,576,10,6.061,1225.063,202.14,151.37,319.71,61,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4ours-n64-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,64,10,3.165,178.534,56.4,22.2,146.03,32,yes,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4ours-n64-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,64,10,3.274,317.541,96.99,243.33,243.33,33,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4ours-n64-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,64,10,3.202,323.198,100.94,247.71,247.71,32,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4ours-n576-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,576,10,6.217,1190.616,191.51,147.93,312.41,62,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4ours-n576-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,576,10,6.276,1212.242,193.15,159.69,315.02,63,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
rtx4090-llamacpp-q4ours-n576-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,Q4_0,llama.cpp GGUF Q4_0,ours-Q4_0.gguf,1,2048,576,10,6.333,1252.769,197.81,149.28,314.78,64,no,0,b10643-192067b72,True,0,1234,measured,direct-nvml,3,2026-08-31 RTX 4090 llama.cpp GGUF F16 vs Q4_0 (n=3 per cell)
