run_id,replicate,gpu,gpu_arch,gpu_power_limit_w,model,params_b,precision,quantization_backend,gguf_file,batch_size,context_length,requested_tokens,decoded_tokens,ignore_eos,sampling_rate_hz,wall_s,process_energy_j,process_energy_trapezoid_j,mean_power_w,cooldown_s,cooldown_converged,start_power_w,start_temp_c,peak_temp_c,max_power_w,n_power_samples,returncode,llama_cpp_commit,flash_attn,temp,seed,basis,measurement_source,n_trials,session
rtx4090-llamacpp-v2-f16-n64-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,64,64,True,100.0,7.485,740.528,644.776,98.93,60.1,True,25.74,28,40,281.08,720,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n64-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,64,64,True,100.0,6.784,674.81,589.122,99.47,60.1,True,24.53,27,39,269.82,649,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n64-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,64,64,True,100.0,7.123,707.635,609.123,99.34,60.1,True,25.69,28,40,277.05,684,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n64-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,64,64,True,100.0,7.217,728.472,626.775,100.94,60.1,True,24.81,28,40,278.62,693,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n64-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,64,64,True,100.0,6.467,660.43,581.812,102.12,60.1,True,25.41,28,40,269.11,616,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n320-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,320,320,True,100.0,11.276,1954.628,1877.815,173.34,60.1,True,24.66,28,43,288.77,1085,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n320-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,320,320,True,100.0,11.678,1968.501,1871.463,168.56,60.1,True,25.72,29,44,288.74,1130,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n320-r3,3,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,320,320,True,100.0,11.872,1977.215,1891.065,166.55,60.1,True,24.62,28,43,287.81,1146,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n320-r4,4,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,320,320,True,100.0,11.635,1969.121,1878.507,169.24,60.1,True,27.33,29,44,289.61,1124,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n320-r5,5,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,320,320,True,100.0,10.835,1928.157,1843.423,177.96,60.1,True,27.76,28,43,289.72,1042,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n576-r1,1,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,576,576,True,100.0,16.201,3237.384,3143.01,199.83,60.1,True,25.67,29,46,291.11,1565,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
rtx4090-llamacpp-v2-f16-n576-r2,2,NVIDIA GeForce RTX 4090,ada,450.0,Llama-3.1-8B-Instruct,8.0,F16,llama.cpp GGUF F16,Llama-3.1-8B-Instruct-F16.gguf,1,2048,576,576,True,100.0,16.0,3239.046,3136.908,202.44,60.1,True,25.77,28,45,292.24,1549,0,b10643-192067b72,True,0,1234,measured,nvml-energy-counter,5,"2026-09-03 RTX 4090 llama.cpp GGUF F16 vs Q4_0, clean protocol (n=5 per cell)"
