arm,arm_label,n_tokens,replicate,wall_s,energy_counter_j,whole_trapezoid_j,gen_start_s_th50,gen_energy_j_th50,gen_energy_j_th40,gen_energy_j_th55,gen_energy_j_th60,load_energy_j,load_share_pct
f16,F16,64,1,7.485,740.528,644.78,6.465,262.2,277.72,246.08,225.84,478.33,64.6
f16,F16,64,2,6.784,674.81,589.12,5.695,268.92,283.1,252.4,235.37,405.89,60.1
f16,F16,64,3,7.123,707.635,609.12,6.112,259.35,274.37,243.66,223.83,448.28,63.3
f16,F16,64,4,7.217,728.472,626.77,6.226,256.91,272.67,238.76,238.76,471.56,64.7
f16,F16,64,5,6.467,660.43,581.81,5.311,283.55,296.48,267.01,248.11,376.88,57.1
f16,F16,320,1,11.276,1954.628,1877.81,5.815,1561.01,1588.88,1543.9,1543.9,393.62,20.1
f16,F16,320,2,11.678,1968.501,1871.46,6.341,1544.7,1571.63,1527.67,1527.67,423.8,21.5
f16,F16,320,3,11.872,1977.215,1891.06,6.449,1550.13,1562.91,1533.8,1515.32,427.08,21.6
f16,F16,320,4,11.635,1969.121,1878.51,6.289,1545.57,1573.87,1545.57,1528.21,423.55,21.5
f16,F16,320,5,10.835,1928.157,1843.42,5.475,1553.53,1582.24,1553.53,1537.7,374.63,19.4
f16,F16,576,1,16.201,3237.384,3143.01,6.505,2816.79,2843.06,2799.84,2799.84,420.59,13.0
f16,F16,576,2,16.0,3239.046,3136.91,6.253,2833.71,2847.34,2817.97,2801.91,405.34,12.5
f16,F16,576,3,15.544,3206.57,3105.52,5.9,2816.68,2845.52,2816.68,2799.03,389.89,12.2
f16,F16,576,4,15.74,3205.44,3106.42,6.024,2815.5,2829.17,2799.73,2783.62,389.94,12.2
f16,F16,576,5,18.352,3370.941,3287.36,8.577,2812.89,2826.61,2797.07,2780.93,558.05,16.6
q4ours,Q4_0 (ours),64,1,3.395,300.061,211.02,2.908,83.68,231.33,83.68,71.76,216.38,72.1
q4ours,Q4_0 (ours),64,2,3.123,281.526,193.13,2.622,88.92,209.28,88.92,78.21,192.61,68.4
q4ours,Q4_0 (ours),64,3,3.456,303.575,210.43,3.0,78.66,235.97,78.66,78.66,224.91,74.1
q4ours,Q4_0 (ours),64,4,3.454,300.008,214.34,2.991,80.89,232.09,80.89,67.71,219.12,73.0
