run_id,timestamp_utc,gpu,gpu_arch,model,params_b,precision,quantization_backend,batch_size,context_length,generated_tokens_per_iter,decode_iterations,warmup,sampling_rate_hz,energy_j_per_1k_tok,fp16_energy_j_per_1k_tok,vs_fp16_energy_pct,throughput_tok_s,avg_power_w,total_energy_j,perplexity,fp16_perplexity,delta_perplexity_pct,quality_tokens_evaluated,quality_seq_len,quality_corpus_sha256,basis,measurement_source,n_trials,torch,torch_cuda,transformers,bitsandbytes,accelerate,nvidia_driver,python,matches_reference_pins,session
rtx4090-2026-08-19-0p5-int8,2026-08-19T06:05:13.804523Z,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-0.5B,0.5,INT8,bitsandbytes,1,2048,256,10,2,10,9941.865,1431.356,594.58,8.6,85.3,25451.175,17.8543,17.7621,0.519,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-0p5-nf4,2026-08-19T08:05:12.207088Z,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-0.5B,0.5,NF4,bitsandbytes,1,2048,256,10,2,10,1827.749,1393.944,31.12,50.7,92.7,4679.038,19.441,17.7621,9.452,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-1p1-int8,2026-08-19T03:06:25.362128Z,NVIDIA GeForce RTX 4090,ada,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,INT8,bitsandbytes,1,2048,256,10,2,10,6437.502,1602.936,301.61,13.6,87.4,16480.006,9.6721,9.6199,0.543,15646,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-1p1-nf4,2026-08-19T02:54:05.370097Z,NVIDIA GeForce RTX 4090,ada,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,NF4,bitsandbytes,1,2048,256,10,2,10,1695.759,1607.587,5.48,58.5,99.3,4341.142,10.1014,9.6199,5.005,15646,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-1p5-int8,2026-08-19T06:21:41.733905Z,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-1.5B,1.5,INT8,bitsandbytes,1,2048,256,10,2,10,11113.416,2389.677,365.06,7.6,85.0,28450.344,11.1652,11.1081,0.514,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-1p5-nf4,2026-08-19T06:13:21.960312Z,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-1.5B,1.5,NF4,bitsandbytes,1,2048,256,10,2,10,2396.267,2451.046,-2.23,43.1,103.3,6134.444,11.8779,11.1081,6.93,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-3p0-int8,2026-08-19T06:43:54.102867Z,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2.5-3B,3.0,INT8,bitsandbytes,1,2048,256,10,2,10,14663.26,3929.171,273.19,6.0,88.1,37537.946,4.7195,4.5472,3.789,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-3p0-nf4,2026-08-19T06:33:38.091619Z,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2.5-3B,3.0,NF4,bitsandbytes,1,2048,256,10,2,10,3295.419,3879.905,-15.06,35.0,115.5,8436.274,5.8006,4.5472,27.564,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-7p0-int8,2026-08-19T08:27:58.694959Z,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-7B,7.0,INT8,bitsandbytes,1,2048,256,10,2,10,13407.291,6515.325,105.78,7.5,100.1,34322.666,3.9003,3.8543,1.193,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
rtx4090-2026-08-19-7p0-nf4,2026-08-19T10:06:45.676483Z,NVIDIA GeForce RTX 4090,ada,Qwen/Qwen2-7B,7.0,NF4,bitsandbytes,1,2048,256,10,2,10,4006.264,6571.616,-39.04,43.1,172.7,10256.035,4.319,3.8543,12.057,14123,1024,22ac091a6383740d30f8e41ae144032c873c772db5e1c901112c1c330fdc5504,measured,direct-nvml,1,2.5.1+cu121,12.1,4.57.6,0.43.3,1.14.0,535.146.02,3.10.20,True,"2026-08-19 single AutoDL RTX 4090 instance, native venv"
