session,model,params_b,precision,energy_j_per_1k_tok,vs_fp16_pct,fp16_energy_j_per_1k_tok,avg_power_w,throughput_tok_s,total_energy_j,tokens_generated,ppl,fp16_ppl,delta_ppl_pct,batch_size,context_length,tokens_per_iteration,iterations,warmup,sample_rate_hz,gpu,gpu_arch,nvidia_driver,torch,torch_cuda,transformers,bitsandbytes,basis,measurement_source,timestamp_utc
A,Qwen2-0.5B,0.5,INT8,4890.776,256.4,1372.274,106.5,21.8,12520.386,2560,17.8506,17.7614,0.502,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T22:51:16.659089Z
A,Qwen2-0.5B,0.5,NF4,1572.156,15.5,1361.104,113.5,72.2,4024.72,2560,19.4407,17.7614,9.455,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T22:46:26.635028Z
A,TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,INT8,3444.777,124.9,1532.01,111.0,32.2,8818.629,2560,9.4381,9.4065,0.336,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T23:54:11.809677Z
A,TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,NF4,1547.796,-0.4,1554.784,122.1,78.8,3962.358,2560,9.9117,9.4065,5.371,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T23:50:11.292576Z
A,Qwen2-1.5B,1.5,INT8,6003.167,189.5,2073.939,112.7,18.8,15368.107,2560,11.1623,11.1072,0.496,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T23:04:38.357681Z
A,Qwen2-1.5B,1.5,NF4,2079.71,1.0,2058.189,131.2,63.0,5324.057,2560,11.8773,11.1072,6.933,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T23:00:49.227381Z
A,Qwen2.5-3B,3.0,INT8,8255.768,155.0,3237.246,117.0,14.2,21134.766,2560,4.7231,4.5466,3.882,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T23:11:49.758781Z
A,Qwen2.5-3B,3.0,NF4,2923.161,-8.0,3178.367,145.7,49.7,7483.292,2560,5.8012,4.5466,27.594,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T23:06:56.045234Z
A,Qwen2-7B,7.0,INT8,7656.695,54.8,4945.233,140.3,18.3,19601.139,2560,3.8948,3.8544,1.048,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T23:19:00.316337Z
A,Qwen2-7B,7.0,NF4,3419.155,-31.4,4980.742,207.1,60.5,8753.037,2560,4.3189,3.8544,12.051,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T23:13:54.567312Z
A_retry,Qwen2-7B,7.0,NF4,3361.429,-31.7,4924.414,204.6,60.7,8605.259,2560,4.3189,3.8544,12.051,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-19T13:52:31.639547Z
B,Qwen2-0.5B,0.5,INT8,5030.247,259.4,1399.745,106.0,21.1,12877.434,2560,17.8506,17.7614,0.502,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-20T00:18:11.666525Z
B,Qwen2-0.5B,0.5,NF4,1576.177,16.1,1357.37,112.5,71.2,4035.014,2560,19.4407,17.7614,9.455,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-20T00:14:45.571529Z
B,TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,INT8,3521.802,123.7,1574.081,112.0,31.8,9015.812,2560,9.4381,9.4065,0.336,1,2048,256,10,2,10,NVIDIA GeForce RTX 5090,blackwell,580.76.05,2.14.0,13.0,4.57.6,0.50.2,measured,direct-nvml,2026-09-20T00:22:21.125872Z
