precision,params_b,model,A_vs_fp16_pct,B_vs_fp16_pct,delta_pp,A_energy_j_per_1k_tok,B_energy_j_per_1k_tok,A_throughput_tok_s,B_throughput_tok_s,delta_ppl_pct
NF4,0.5,Qwen2-0.5B,15.5,16.1,0.6,1572.156,1576.177,72.2,71.2,9.455
NF4,1.1,TinyLlama-1.1B-intermediate-step-1431k-3T,-0.4,1.5,1.9,1547.796,1594.561,78.8,77.3,5.371
NF4,1.5,Qwen2-1.5B,1.0,2.7,1.7,2079.71,2143.592,63.0,61.9,6.933
NF4,3.0,Qwen2.5-3B,-8.0,-7.4,0.6,2923.161,2967.459,49.7,49.0,27.594
NF4,7.0,Qwen2-7B,-31.4,-32.3,-0.9,3419.155,3363.524,60.5,60.6,12.051
INT8,0.5,Qwen2-0.5B,256.4,259.4,3.0,4890.776,5030.247,21.8,21.1,0.502
INT8,1.1,TinyLlama-1.1B-intermediate-step-1431k-3T,124.9,123.7,-1.2,3444.777,3521.802,32.2,31.8,0.336
INT8,1.5,Qwen2-1.5B,189.5,188.1,-1.4,6003.167,5942.246,18.8,19.1,0.496
INT8,3.0,Qwen2.5-3B,155.0,149.8,-5.2,8255.768,7973.556,14.2,14.8,3.882
INT8,7.0,Qwen2-7B,54.8,59.4,4.6,7656.695,7938.135,18.3,17.6,1.048
