model,params_b,precision,precision_label,energy_j_per_1k_tok,vs_fp16_pct,avg_power_w,peak_power_w,throughput_tok_s,total_joules,total_tokens,num_samples,max_new_tokens,batch_size,token_cv_pct,idle_power_w,short_generation,gpu,torch,cuda,torchao,timestamp_utc
Qwen2-0.5B,0.5,fp16,FP16 (baseline),1230.82,,127.8,135.92,103.82,315.09,768,3,256,1,0.82,12.54,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,,2026-09-20T10:49:41.176649
Qwen2-0.5B,0.5,fp8,FP8 weight-only (torchao),3535.18,187.2,186.35,194.04,52.72,905.01,768,3,256,1,3.0,12.37,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T10:50:30.291672
Qwen2-0.5B,0.5,fp8_dyn,FP8 dyn-act+weight (torchao),5205.5,322.9,101.17,102.84,19.44,1332.61,768,3,256,1,1.22,13.16,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T10:51:47.103399
TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,fp16,FP16 (baseline),1492.91,,152.4,162.72,102.09,382.19,768,3,256,1,0.41,13.1,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,,2026-09-20T11:24:18.581845
TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,fp8,FP8 weight-only (torchao),4751.15,218.2,264.98,287.89,55.77,280.32,177,3,256,1,1.25,12.39,yes,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T11:24:58.105174
TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,fp8_dyn,FP8 dyn-act+weight (torchao),5051.07,238.3,103.45,104.82,20.48,1293.07,768,3,256,1,1.91,12.31,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T11:26:11.511946
Qwen2-1.5B,1.5,fp16,FP16 (baseline),1930.12,,166.24,176.39,86.14,494.11,768,3,256,1,1.16,12.56,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,,2026-09-20T11:34:55.137505
Qwen2-1.5B,1.5,fp8,FP8 weight-only (torchao),7892.36,308.9,330.26,344.0,41.84,2020.44,768,3,256,1,4.55,12.52,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T11:35:48.956051
Qwen2-1.5B,1.5,fp8_dyn,FP8 dyn-act+weight (torchao),6467.11,235.1,106.62,107.97,16.49,1655.58,768,3,256,1,0.85,12.66,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T11:37:13.165285
Qwen2.5-3B,3.0,fp16,FP16 (baseline),2976.13,,205.83,215.63,69.17,761.89,768,3,256,1,2.08,12.42,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,,2026-09-20T12:01:58.102023
Qwen2.5-3B,3.0,fp8,FP8 weight-only (torchao),17032.42,472.3,407.19,415.8,23.91,4360.3,768,3,256,1,0.18,12.74,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T12:03:08.085271
Qwen2.5-3B,3.0,fp8_dyn,FP8 dyn-act+weight (torchao),8504.83,185.8,109.81,110.77,12.91,2177.24,768,3,256,1,0.55,13.01,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T12:04:47.017662
Qwen2-7B,7.0,fp16,FP16 (baseline),4574.41,,356.84,375.2,78.01,1171.05,768,3,256,1,0.09,12.8,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,,2026-09-20T14:00:08.480264
Qwen2-7B,7.0,fp8,FP8 weight-only (torchao),41876.12,815.4,437.99,448.21,10.46,10720.29,768,3,256,1,0.28,12.66,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T14:02:11.598760
Qwen2-7B,7.0,fp8_dyn,FP8 dyn-act+weight (torchao),8348.17,82.5,134.13,135.99,16.07,2137.13,768,3,256,1,2.43,14.3,,NVIDIA GeForce RTX 5090,2.14.0+cu130,13.0,0.18.0,2026-09-20T14:03:43.642532
