gpu,model,params_b,precision,n_sessions,n_cards,scope,mean_pct,min_pct,max_pct,spread_pp,v1_0_level,source
RTX 4090,Qwen/Qwen2-0.5B,0.5,INT8,1,1,"within-session replicates (same day, same stack)",581.3,570.6,595.0,24.5,pending: 1 session (need >=3 sessions or >=2 cards),rtx4090_int8_repeats_2026-08-20.csv
RTX 4090,Qwen/Qwen2-1.5B,1.5,INT8,1,1,"within-session replicates (same day, same stack)",347.4,338.7,352.2,13.5,pending: 1 session (need >=3 sessions or >=2 cards),rtx4090_int8_repeats_2026-08-20.csv
RTX 4090,Qwen/Qwen2-7B,7.0,INT8,1,1,"within-session replicates (same day, same stack)",105.9,101.8,110.0,8.2,pending: 1 session (need >=3 sessions or >=2 cards),rtx4090_int8_repeats_2026-08-20.csv
RTX 4090,Qwen/Qwen2.5-3B,3.0,INT8,1,1,"within-session replicates (same day, same stack)",271.2,263.6,278.3,14.7,pending: 1 session (need >=3 sessions or >=2 cards),rtx4090_int8_repeats_2026-08-20.csv
RTX 4090,TinyLlama/TinyLlama-1.1B-Chat-v1.0,1.1,INT8,1,1,"within-session replicates (same day, same stack)",307.1,305.1,308.3,3.2,pending: 1 session (need >=3 sessions or >=2 cards),rtx4090_int8_repeats_2026-08-20.csv
RTX 5090,Qwen2-0.5B,0.5,INT8,2,1,"across-restart sessions (same card, current stack)",257.9,256.4,259.4,3.0,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,Qwen2-0.5B,0.5,NF4,2,1,"across-restart sessions (same card, current stack)",15.8,15.5,16.1,0.6,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,Qwen2-1.5B,1.5,INT8,2,1,"across-restart sessions (same card, current stack)",188.8,188.1,189.5,1.4,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,Qwen2-1.5B,1.5,NF4,2,1,"across-restart sessions (same card, current stack)",1.9,1.0,2.7,1.7,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,Qwen2-7B,7.0,INT8,2,1,"across-restart sessions (same card, current stack)",57.1,54.8,59.4,4.6,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,Qwen2-7B,7.0,NF4,3,1,"across-restart sessions (same card, current stack)",-31.8,-32.3,-31.4,0.9,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,Qwen2.5-3B,3.0,INT8,2,1,"across-restart sessions (same card, current stack)",152.4,149.8,155.0,5.2,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,Qwen2.5-3B,3.0,NF4,2,1,"across-restart sessions (same card, current stack)",-7.7,-8.0,-7.4,0.6,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,TinyLlama-1.1B-Chat-v1.0,1.1,NF4,1,1,"across-restart sessions (same card, current stack)",-0.3,-0.3,-0.3,0.0,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,INT8,2,1,"across-restart sessions (same card, current stack)",124.3,123.7,124.9,1.2,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 5090,TinyLlama-1.1B-intermediate-step-1431k-3T,1.1,NF4,2,1,"across-restart sessions (same card, current stack)",0.6,-0.4,1.5,1.9,"pending: 2 sessions, 1 card (need >=3 sessions or >=2 cards)",rtx5090_bnb_2026-09-20.csv
RTX 4090,Qwen2.5-3B,3.0,NF4,3,2,"across-cards sessions (2 physical cards, current stack)",1.6,0.5,3.5,3.0,met: n=3 sessions across 2 cards (first configuration at the v1.0 bar),rtx4090_bnb_2026-09-25.csv
RTX 4090D,Qwen2-0.5B,0.5,NF4,1,1,"single trial, no repeats",,,,,pending: n=1 (need >=3 sessions or >=2 cards),build/measured.csv (v1.1.0 anchor)
RTX 4090D,TinyLlama-1.1B,1.1,NF4,2,1,"within-session repeated trials (main dataset v1.1.0, CV<2%)",,,,,pending: n=2 same-session (need >=3 sessions or >=2 cards),build/measured.csv (v1.1.0 anchor)
